Missed	Missed	Missed	Missed	Missed	True	Missed	True	
True	True	Missed	Missed	True	True	True	True	
True	True	Missed	Missed	True	True	True	True	
True	True	Missed	Missed	True	True	True	True	
True	True	True	Missed	True	True	True	True	
True	True	True	Missed	Missed	True	True	True	
True	True	True	Missed	Missed	True	True	Missed	
True	True	Missed	Missed	True	True	True	True	
Missed	True	True	Missed	True	True	True	True	
True	True	True	Missed	True	True	True	Missed	
True	True	True	Missed	True	True	True	False	
True	True	True	Missed	True	True	True	True	
True	True	True	True	True	True	True	True	
True	True	False	True	True	True	True	True	
True	True	True	True	True	True	True	Missed	
True	True	True	True	Missed	Missed	True	True	
True	Missed	True	True	True	True	Missed	True	
True	True	True	True	True	True	True	True	
True	True	True	Missed	True	True	True	True	
Missed	False	True	True	True	True	False	False	
True	True	True	True	Missed	True	True	True	
True	True	Missed	True	True	True	True	True	
True	True	Missed	True	True	True	True	True	
True	True	True	Missed	True	True	True	True	
True	Missed	True	Missed	False	True	Missed	True	
True	True	True	True	True	True	True	True	
True	Missed	True	True	False	True	Missed	True	
True	True	Missed	True	True	True	True	Missed	
True	True	True	True	True	True	True	True	
True	True	Missed	Missed	True	True	True	True	
False	Missed	False	False	True	True	Missed	True	
True	True	True	Missed	True	True	True	True	
True	True	True	True	True	True	True	True	
True	True	True	True	True	True	True	Missed	
True	True	True	Missed	True	True	True	True	
True	True	True	Missed	True	True	True	True	
True	True	True	Missed	True	Missed	True	Missed	
True	True	True	True	True	True	True	True	
True	True	True	True	True	True	True	True	
True	Missed	True	True	True	False	Missed	True	
