Ошибки/Успех	ВремяР с	День	ПоложОтв	НомерПол	Рука
0	2.70	1	3	1	0
0	1.20	1	4	1	1
0	1.23	1	1	1	1
0	3.83	1	5	1	0
0	1.27	1	2	1	1
1	3.63	1	5	2	0
0	1.03	1	1	2	1
1	4.73	1	3	2	1
1	5.17	1	4	2	1
0	4.93	1	2	2	0
0	0.83	1	1	3	1
0	1.77	1	2	3	0
0	1.60	1	4	3	1
1	5.03	1	3	3	1
1	2.50	1	5	3	0
0	3.03	1	3	4	1
0	0.63	1	1	4	1
1	3.47	1	2	4	1
0	0.97	1	4	4	1
0	3.13	1	5	4	0
1	4.20	1	2	5	0
0	2.60	1	3	5	1
0	1.13	1	1	5	1
0	3.90	1	5	5	0
0	1.60	1	4	5	1
0	1.43	1	4	6	1
0	2.87	1	2	6	0
1	4.00	1	3	6	1
0	3.13	1	5	6	0
0	1.07	1	1	6	1
1	1.67	1	5	7	0
0	0.83	1	4	7	1
0	1.23	1	1	7	1
0	1.47	1	3	7	1
1	4.07	1	2	7	0
0	1.40	1	1	8	1
0	3.33	1	2	8	0
1	4.07	1	5	8	0
0	1.20	1	3	8	1
0	4.90	1	4	8	0
0	1.30	1	3	9	1
1	3.13	1	5	9	0
0	1.30	1	4	9	1
0	0.93	1	1	9	1
1	4.37	1	2	9	1
0	3.17	1	2	10	0
0	1.70	1	4	10	1
0	3.80	1	5	10	0
0	1.13	1	1	10	1
0	6.80	1	3	10	1
0	1.53	2	4	1	1
1	3.20	2	5	1	0
1	3.67	2	3	1	1
0	2.77	2	5	1	0
0	0.93	2	1	1	1
0	2.00	2	5	2	0
0	4.30	2	4	2	1
0	0.90	2	1	2	1
1	6.87	2	3	2	1
0	3.03	2	2	2	0
0	2.93	2	3	3	1
0	0.93	2	4	3	1
0	1.40	2	5	3	0
0	1.93	2	1	3	1
0	2.17	2	2	3	0
0	1.20	2	1	4	1
1	2.80	2	2	4	0
0	1.50	2	4	4	1
0	1.27	2	3	4	1
0	2.33	2	5	4	0
1	2.80	2	2	5	0
0	1.10	2	4	5	1
0	1.93	2	5	5	0
0	0.70	2	1	5	1
0	1.30	2	3	5	1
0	1.50	2	3	6	1
0	1.10	2	4	6	1
0	1.83	2	1	6	1
1	2.03	2	5	6	0
0	3.03	2	2	6	0
0	2.00	2	5	7	0
0	1.17	2	1	7	1
1	7.17	2	3	7	0
0	1.43	2	4	7	1
0	3.57	2	2	7	0
0	1.80	2	3	8	1
0	1.50	2	1	8	0
0	2.80	2	2	8	0
0	1.17	2	4	8	1
0	2.17	2	5	8	0
0	1.17	2	1	9	1
0	2.90	2	2	9	0
0	1.50	2	4	9	1
0	1.33	2	3	9	1
1	2.10	2	5	9	0
1	2.97	2	2	10	0
0	1.83	2	3	10	1
0	1.10	2	1	10	0
0	1.90	2	4	10	1
1	2.37	2	5	10	0
0	2.20	3	3	1	1
0	2.53	3	5	1	0
0	1.43	3	4	1	1
0	2.70	3	2	1	0
0	0.90	3	1	1	1
0	1.73	3	1	2	1
0	3.07	3	2	2	0
0	2.33	3	3	2	1
0	1.80	3	5	2	0
0	1.17	3	4	2	1
0	0.83	3	4	3	1
0	1.17	3	1	3	1
0	1.40	3	5	3	0
1	2.57	3	2	3	0
0	2.43	3	3	3	0
0	1.63	3	3	4	1
0	2.30	3	1	4	1
0	2.17	3	2	4	0
0	1.37	3	4	4	1
0	3.23	3	5	4	0
0	2.27	3	5	5	0
0	1.70	3	4	5	1
0	2.67	3	2	5	0
0	1.13	3	1	5	1
0	2.43	3	3	5	0
0	1.70	3	5	6	0
0	1.27	3	1	6	1
0	3.10	3	3	6	1
0	1.33	3	4	6	1
0	2.27	3	2	6	0
0	1.17	3	2	7	0
0	1.60	3	1	7	1
0	1.40	3	4	7	1
0	2.23	3	2	8	0
0	3.27	3	5	7	0
0	10.37	3	3	7	1
0	5.47	3	3	8	0
0	1.87	3	1	8	1
0	1.97	3	5	8	0
0	1.50	3	4	8	1
0	1.03	3	1	9	1
1	4.53	3	5	9	0
1	5.47	3	3	9	1
0	2.00	3	4	9	1
0	3.00	3	2	9	0
0	1.70	3	3	10	1
0	1.50	3	4	10	1
0	1.47	3	1	10	1
0	3.17	3	2	10	0
0	2.10	3	5	10	0
0	2.60	4	5	1	0
0	2.10	4	2	1	0
0	1.03	4	1	1	1
0	1.20	4	4	1	1
0	5.47	4	3	1	0
0	2.60	4	2	2	0
0	0.77	4	4	2	1
0	4.57	4	3	2	1
0	1.83	4	5	2	0
0	0.97	4	1	2	1
0	0.70	4	4	3	1
0	1.17	4	5	3	0
0	0.87	4	1	3	1
0	1.73	4	3	3	1
0	2.53	4	2	3	0
0	2.30	4	5	4	0
0	1.73	4	3	4	1
0	1.00	4	4	4	1
0	25.63	4	1	4	1
0	2.43	4	2	4	0
0	2.90	4	2	5	0
0	1.10	4	4	5	1
0	1.70	4	3	5	1
0	0.80	4	1	5	1
1	2.20	4	5	5	0
0	1.80	4	3	6	1
0	1.00	4	1	6	1
0	2.73	4	2	6	0
0	0.90	4	4	6	1
0	1.37	4	5	6	0
0	1.90	4	5	7	0
0	0.93	4	4	7	1
1	2.23	4	2	7	0
0	0.73	4	1	7	1
0	6.23	4	3	7	1
0	1.37	4	3	8	1
0	2.57	4	2	8	0
0	1.50	4	5	8	0
0	0.97	4	1	8	1
0	0.73	4	4	8	1
0	1.13	4	4	9	1
0	1.70	4	5	9	0
0	1.33	4	3	9	1
0	2.70	4	2	9	0
0	0.83	4	1	9	1
0	1.23	4	1	10	1
0	2.70	4	2	10	0
0	0.87	4	4	10	1
1	4.77	4	5	10	0
0	1.13	4	3	10	1
1	32.03	5	1	1	0
0	2.93	5	2	1	0
0	1.47	5	4	1	1
0	5.20	5	5	1	0
0	2.17	5	3	1	1
0	4.77	5	3	2	1
0	1.20	5	1	2	0
0	2.33	5	5	2	0
1	2.93	5	2	2	0
0	1.83	5	4	2	1
0	2.83	5	2	3	0
0	1.90	5	5	3	0
1	7.87	5	3	3	1
0	1.07	5	1	3	1
0	1.30	5	4	3	1
0	2.40	5	2	4	0
0	1.73	5	3	4	1
0	1.17	5	4	4	1
0	2.47	5	5	4	0
0	1.57	5	1	4	1
0	1.63	5	1	5	1
0	2.80	5	5	5	0
0	1.77	5	3	5	1
0	0.97	5	4	5	1
1	3.53	5	2	5	0
0	1.50	5	5	6	0
0	1.00	5	1	6	1
0	1.20	5	4	6	1
0	5.70	5	3	6	1
0	3.13	5	2	6	0
0	2.07	5	2	7	0
0	2.40	5	3	7	1
0	0.67	5	4	7	1
0	1.23	5	1	7	1
0	2.00	5	5	7	0
0	1.13	5	4	8	1
1	2.60	5	2	8	0
0	2.03	5	5	8	0
0	1.23	5	1	8	1
0	4.10	5	3	8	1
0	0.93	5	1	9	1
0	1.87	5	5	9	0
0	1.67	5	3	9	1
1	2.57	5	2	9	0
0	1.37	5	4	9	1
0	1.60	5	3	10	1
0	3.33	5	2	10	0
1	1.90	5	5	10	0
0	1.00	5	1	10	1
0	1.60	5	4	10	1
0	1.87	6	4	1	1
1	2.63	6	2	1	0
0	5.60	6	3	1	1
0	2.23	6	5	1	0
1	9.57	6	1	1	1
0	1.43	6	5	2	0
0	0.77	6	4	2	1
0	1.40	6	1	2	1
1	8.37	6	3	2	1
0	2.57	6	2	2	0
1	4.30	6	3	3	1
0	0.97	6	4	3	1
0	2.07	6	5	3	0
0	1.00	6	1	3	1
0	2.07	6	2	3	0
0	0.83	6	1	4	1
0	2.47	6	2	4	0
0	1.23	6	4	4	1
0	1.90	6	3	4	1
0	1.67	6	5	4	0
1	2.47	6	2	5	0
0	1.33	6	4	5	1
0	1.77	6	5	5	0
0	0.80	6	1	5	1
0	1.43	6	3	5	1
1	4.63	6	3	6	1
0	1.17	6	4	6	0
0	0.97	6	1	6	1
0	1.70	6	5	6	0
0	2.27	6	2	6	0
0	1.40	6	5	7	0
0	1.03	6	1	7	1
0	1.33	6	3	7	1
0	1.03	6	4	7	1
0	2.47	6	2	7	0
0	4.23	6	3	8	1
0	0.93	6	1	8	1
1	3.27	6	2	8	0
0	0.93	6	4	8	1
0	1.80	6	5	8	0
0	0.83	6	1	9	1
0	1.93	6	2	9	0
0	1.00	6	4	9	1
0	1.67	6	3	9	1
0	2.43	6	5	9	0
0	2.37	6	2	10	0
0	2.43	6	3	10	1
0	1.20	6	1	10	1
0	1.00	6	4	10	1
0	1.53	6	5	10	0
0	1.10	7	1	1	1
0	2.13	7	2	1	0
0	2.03	7	4	1	1
0	2.10	7	5	1	0
1	3.13	7	3	1	1
1	3.70	7	3	2	1
0	0.93	7	1	2	1
0	3.27	7	5	2	0
0	1.93	7	2	2	0
0	1.30	7	4	2	1
0	2.87	7	2	3	0
0	1.80	7	5	3	0
0	3.53	7	3	3	0
0	1.10	7	1	3	1
0	1.07	7	4	3	1
1	2.33	7	2	4	0
0	6.27	7	3	4	1
1	3.17	7	4	4	1
0	2.10	7	5	4	0
0	1.20	7	1	4	1
0	1.43	7	1	5	1
0	1.80	7	5	5	0
1	3.97	7	3	5	0
0	1.33	7	4	5	1
0	2.63	7	2	5	0
