Ошибки/Успех	ВремяР с	День	ПоложОтв	НомерПол	Рука
0	3.33	1	1	1	1
0	0.67	1	2	1	1
1	5.10	1	4	1	1
0	11.27	1	5	1	1
2		1	3	1	
2		1	3	2	
0	3.17	1	1	2	1
0	0.63	1	5	2	0
0	0.80	1	2	2	1
1	37.63	1	4	2	1
0	0.83	1	2	3	1
0	1.57	1	5	3	0
2		1	3	3	
2		1	1	3	
2		1	4	3	
0	0.53	1	2	4	1
2		1	4	4	
0	2.77	1	5	4	0
0	2.07	1	1	4	0
2		1	3	4	
1	6.47	1	1	5	1
0	0.70	1	5	5	0
1	12.90	1	3	5	1
2		1	4	5	
0	0.90	1	2	5	1
0	0.93	1	5	6	0
1	3.27	1	1	6	1
2		1	4	6	
1	10.90	1	3	6	1
0	2.27	1	2	6	1
0	3.03	1	2	7	1
2		1	3	7	
2		1	4	7	
0	1.10	1	1	7	1
0	2.30	1	5	7	0
2		1	4	8	
0	0.50	1	2	8	1
0	0.60	1	5	8	0
1	1.60	1	1	8	1
1	119.30	1	3	8	1
0	1.93	1	1	9	1
0	1.17	1	5	9	0
1	70.30	1	3	9	1
0	1.17	1	2	9	1
1	16.37	1	4	9	0
2		1	3	10	
0	0.70	1	2	10	1
0	2.27	1	5	10	0
0	1.80	1	1	10	0
2		1	4	10	
0	1.73	2	4	1	1
0	0.63	2	2	1	1
1	107.03	2	3	1	1
0	1.10	2	5	1	0
0	1.07	2	1	1	1
0	1.13	2	5	2	0
0	1.37	2	4	2	1
0	2.13	2	1	2	1
1	61.83	2	3	2	0
0	1.40	2	2	2	1
0	10.13	2	3	3	1
0	1.80	2	4	3	1
0	0.63	2	5	3	0
1	2.80	2	1	3	1
0	0.57	2	2	3	1
0	1.27	2	1	4	1
0	0.60	2	2	4	1
1	105.40	2	4	4	1
0	2.93	2	3	4	0
0	0.57	2	5	4	0
0	0.40	2	2	5	1
0	2.87	2	4	5	1
0	0.93	2	5	5	0
1	8.73	2	1	5	1
1	47.33	2	3	5	0
0	1.37	2	3	6	0
0	0.63	2	4	6	1
1	3.00	2	1	6	1
1	19.33	2	5	6	0
0	2.53	2	2	6	0
0	3.57	2	5	7	0
0	1.43	2	1	7	0
0	2.63	2	3	7	0
0	0.67	2	4	7	1
0	0.40	2	2	7	1
0	2.50	2	3	8	0
1	2.60	2	1	8	1
0	0.80	2	5	8	1
1	19.07	2	4	8	1
1	2.43	2	5	8	1
0	3.37	2	1	9	0
0	1.13	2	2	9	1
1	4.57	2	4	9	1
1	45.87	2	3	9	0
1	7.70	2	5	9	0
0	0.97	2	2	10	1
1	12.17	2	3	10	1
1	2.17	2	1	10	1
1	41.80	2	4	10	1
0	2.30	2	5	10	0
1	9.90	3	3	1	1
0	2.63	3	2	1	1
0	5.93	3	4	1	1
0	0.47	3	1	1	1
0	1.00	3	5	1	0
0	0.43	3	1	2	1
0	0.63	3	2	2	1
1	8.57	3	3	2	1
0	7.50	3	5	2	0
1	3.87	3	4	2	1
0	3.07	3	3	3	1
0	5.30	3	4	3	1
0	1.13	3	1	3	1
0	1.83	3	5	3	1
0	0.83	3	2	3	1
0	2.03	3	5	4	0
0	2.07	3	2	4	1
0	3.33	3	3	4	1
0	5.73	3	4	4	1
0	1.67	3	1	4	1
0	1.43	3	1	5	1
0	1.07	3	2	5	1
0	2.63	3	3	5	0
0	3.07	3	5	5	0
1	5.23	3	4	5	1
0	19.07	3	3	6	1
0	0.67	3	2	6	1
0	29.60	3	1	6	1
0	3.03	3	4	6	1
0	2.13	3	5	6	0
0	4.07	3	5	7	1
0	1.60	3	1	7	1
0	4.90	3	4	7	1
1	26.43	3	3	7	0
0	0.77	3	2	7	1
1	5.97	3	4	8	1
1	2.40	3	1	8	1
0	15.70	3	3	8	0
0	1.20	3	5	8	0
0	0.67	3	2	8	1
0	6.10	3	3	9	1
0	1.27	3	2	9	1
0	1.33	3	5	9	0
1	1.87	3	1	9	1
0	3.27	3	4	9	1
0	0.83	3	2	10	1
0	1.10	3	1	10	1
0	0.97	3	5	10	0
1	17.57	3	3	10	1
1	12.10	3	4	10	1
0	0.53	4	5	1	0
0	2.27	4	2	1	1
0	2.97	4	1	1	1
0	35.33	4	3	1	0
0	2.33	4	4	1	1
0	0.73	4	2	2	1
1	8.40	4	4	2	1
0	0.93	4	5	2	0
0	1.73	4	1	2	1
1	12.13	4	3	2	1
1	4.33	4	4	3	1
