Ошибки/Успех	ВремяР с	Контроль/Облучение	День	День от Обл	День К/Об	ПоложОтв	НомерПол	Рука
0	1.57	1	5	-84	0	5	1	0
0	0.47	1	5	-84	0	2	1	0
0	0.40	1	5	-84	0	1	1	0
0	7.90	1	5	-84	0	3	1	1
0	2.57	1	5	-84	0	2	2	1
0	0.67	1	5	-84	0	4	1	1
0	10.80	1	5	-84	0	4	2	1
0	3.90	1	5	-84	0	3	2	1
0	1.90	1	5	-84	0	5	2	0
0	7.73	1	5	-84	0	1	2	0
0	1.17	1	5	-84	0	1	3	0
0	3.53	1	5	-84	0	3	3	1
0	0.87	1	5	-84	0	4	3	1
0	0.80	1	5	-84	0	2	3	0
0	4.53	1	5	-84	0	5	3	0
0	2.23	1	5	-84	0	5	4	0
0	1.53	1	5	-84	0	4	4	1
1	2.80	1	5	-84	0	2	4	0
0	0.43	1	5	-84	0	1	4	0
0	3.60	1	5	-84	0	3	4	1
0	1.63	1	5	-84	0	4	5	1
0	11.47	1	5	-84	0	5	5	0
0	0.50	1	5	-84	0	1	5	0
0	4.03	1	5	-84	0	3	5	1
0	2.93	1	5	-84	0	2	5	0
0	0.53	1	5	-84	0	2	6	0
0	1.80	1	5	-84	0	4	6	1
0	7.73	1	5	-84	0	5	6	0
0	0.23	1	5	-84	0	1	6	0
0	25.07	1	5	-84	0	3	6	1
0	0.53	1	5	-84	0	1	7	0
1	5.77	1	5	-84	0	5	7	0
0	3.13	1	5	-84	0	3	7	1
1	1.33	1	5	-84	0	2	7	0
0	0.93	1	5	-84	0	4	7	1
0	0.60	1	5	-84	0	4	8	1
0	0.37	1	5	-84	0	2	8	0
0	0.63	1	5	-84	0	1	8	0
0	4.20	1	5	-84	0	3	8	1
0	1.43	1	5	-84	0	5	8	0
0	0.47	1	5	-84	0	1	9	0
0	20.50	1	5	-84	0	4	9	1
1	6.30	1	5	-84	0	5	9	0
1	2.83	1	5	-84	0	2	9	0
0	10.63	1	5	-84	0	3	9	1
0	4.43	1	5	-84	0	3	10	1
0	0.73	1	5	-84	0	4	10	1
0	1.37	1	5	-84	0	2	10	0
0	6.93	1	5	-84	0	5	10	0
0	0.77	1	5	-84	0	1	10	0
0	1.60	1	6	-79	0	5	1	0
0	0.37	1	6	-79	0	1	1	0
0	2.47	1	6	-79	0	3	1	1
0	2.77	1	6	-79	0	4	1	1
0	2.03	1	6	-79	0	2	1	0
0	1.13	1	6	-79	0	4	2	1
0	0.37	1	6	-79	0	2	2	0
0	1.70	1	6	-79	0	5	2	0
0	5.67	1	6	-79	0	1	2	0
0	2.53	1	6	-79	0	3	2	1
1	66.83	1	6	-79	0	3	3	1
0	0.53	1	6	-79	0	1	3	0
0	3.40	1	6	-79	0	2	3	0
0	2.30	1	6	-79	0	4	3	1
0	5.90	1	6	-79	0	5	3	0
0	1.93	1	6	-79	0	5	4	0
0	6.53	1	6	-79	0	2	4	0
0	0.30	1	6	-79	0	1	4	0
0	12.10	1	6	-79	0	3	4	1
0	0.47	1	6	-79	0	4	4	1
